date,tvl,price
2020-10-07,1173893268.0,41.49
2020-10-08,1082928572.0,42.71
2020-10-09,1069286057.0,44.0
2020-10-10,1101950442.0,50.57
2020-10-11,1061227409.0,49.37
2020-10-12,1044283850.0,53.57
2020-10-13,1039337579.0,50.0
2020-10-14,1063776606.0,52.54
2020-10-15,1033137246.0,43.92
2020-10-16,1013360492.0,39.3
2020-10-17,1003536970.0,41.57
2020-10-18,979587065.0,40.91
2020-10-19,989796758.0,36.29
2020-10-20,968794272.0,32.03
2020-10-21,899280626.0,35.05
2020-10-22,932239515.0,37.73
2020-10-23,1022962269.0,41.91
2020-10-24,1128877665.0,39.19
2020-10-25,1138364481.0,37.94
2020-10-26,1119064416.0,36.0
2020-10-27,1004721877.0,34.83
2020-10-28,986776251.0,32.46
2020-10-29,1002413791.0,29.27
2020-10-30,959599065.0,31.24
2020-10-31,963701873.0,29.51
2020-11-01,987058133.0,30.52
2020-11-02,977491481.0,29.7
2020-11-03,978924578.0,28.1
2020-11-04,963913158.0,27.64
2020-11-05,944673839.0,30.84
2020-11-06,912300161.0,38.71
2020-11-07,1035343052.0,44.41
2020-11-08,1122926208.0,53.72
2020-11-09,1105354864.0,55.32
2020-11-10,1175271700.0,66.91
2020-11-11,1190225583.0,54.77
2020-11-12,1208109860.0,51.17
2020-11-13,1192418454.0,63.42
2020-11-14,1219847058.0,66.91
2020-11-15,1189636578.0,64.0
2020-11-16,1218192930.0,72.6
2020-11-17,1232411139.0,79.35
2020-11-18,1316328015.0,76.0
2020-11-19,1343681805.0,75.93
2020-11-20,1353978471.0,74.9
2020-11-21,1442246916.0,70.07
2020-11-22,1413758150.0,68.98
2020-11-23,1337781148.0,72.2
2020-11-24,1455224589.0,67.16
2020-11-25,1471123397.0,61.6
2020-11-26,1517818958.0,63.99
2020-11-27,1295546354.0,60.93
2020-11-28,1287346649.0,63.89
2020-11-29,1332612928.0,68.52
2020-11-30,1409363991.0,76.36
2020-12-01,1513693024.0,74.31
2020-12-02,1540031262.0,86.49
2020-12-03,1541543528.0,91.17
2020-12-04,1554414996.0,80.86
2020-12-05,1518248673.0,92.52
2020-12-06,1483194585.0,88.171
2020-12-07,1460106955.0,90.63
2020-12-08,1483199523.0,80.101
2020-12-09,1450566230.0,82.0
2020-12-10,1405459918.0,76.533
2020-12-11,1371100428.0,74.675
2020-12-12,1322305412.0,77.726
2020-12-13,1382534918.0,83.56
2020-12-14,1442118802.0,86.43
2020-12-15,1419845524.0,87.323
2020-12-16,1461520592.0,87.301
2020-12-17,1456800377.0,84.874
2020-12-18,1597265004.0,90.062
2020-12-19,1554315444.0,89.16
2020-12-20,1608744660.0,85.753
2020-12-21,1563588447.0,80.96
2020-12-22,1460869888.0,84.35
2020-12-23,1504612156.0,75.055
2020-12-24,1494043682.0,80.32
2020-12-25,1424455658.0,79.753
2020-12-26,1538391852.0,74.989
2020-12-27,1492484959.0,77.236
2020-12-28,1496243263.0,81.912
2020-12-29,1639873469.0,78.11
2020-12-30,1621802656.0,81.252
2020-12-31,1677660114.0,88.386
2021-01-01,1736188234.0,90.61
2021-01-02,1780883178.0,85.806
2021-01-03,1785602557.0,93.37
2021-01-04,1953151436.0,113.752
2021-01-05,2078222606.0,119.509
2021-01-06,2210745069.0,115.44
2021-01-07,2361847231.0,115.17
2021-01-08,2509907817.0,110.787
2021-01-09,2530823716.0,117.371
2021-01-10,2483747733.0,127.135
2021-01-11,2546736080.0,114.341
2021-01-12,2211238181.0,127.482
2021-01-13,2277301089.0,147.49
2021-01-14,2326260686.0,147.488
2021-01-15,2398205020.0,166.768
2021-01-16,2496778088.0,182.43
2021-01-17,2737164323.0,186.93
2021-01-18,2682725946.0,200.222
2021-01-19,2771243991.0,186.57
2021-01-20,2875159479.0,196.22
2021-01-21,2577243841.0,160.118
2021-01-22,2494799833.0,190.73
2021-01-23,2515307956.0,213.88
2021-01-24,2660922186.0,264.39
2021-01-25,2852577757.0,247.66
2021-01-26,2947020835.0,277.32
2021-01-27,2697907493.0,285.9
2021-01-28,2630323512.0,296.825
